keyword,exclusive_to,frequency
nice,depressive,5100
lovely,depressive,3819
amazing,depressive,2836
happy,depressive,2745
kind,depressive,2690
honest,depressive,2113
super,depressive,2052
best,depressive,2046
great,depressive,1979
perfect,depressive,1934
brilliant,depressive,1553
morning,depressive,1217
loving,depressive,1187
thank,depressive,1182
unique,depressive,1162
lol,depressive,1138
free,depressive,1062
whole,depressive,1029
month,depressive,926
high,depressive,919
responsible,depressive,898
fans,depressive,894
confident,depressive,868
rich,depressive,852
sure,depressive,842
looking,depressive,812
full,depressive,810
beautiful,depressive,807
pride,depressive,796
talented,depressive,774
awesome,depressive,770
able,depressive,757
top,depressive,749
birthday,depressive,735
wish,depressive,708
policy,depressive,696
understanding,depressive,694
okay,depressive,686
yuta,depressive,686
proud,depressive,672
powerful,depressive,669
might,depressive,666
important,depressive,666
fun,depressive,661
handsome,depressive,654
place,depressive,654
win,depressive,652
pretty,depressive,649
thanks,depressive,647
willing,depressive,629
friend,depressive,626
strong,depressive,624
ace,depressive,621
true,depressive,614
safe,depressive,596
needs,depressive,588
social,depressive,581
loved,depressive,570
name,depressive,569
cases,depressive,549
awful,nondepressive,0
illness,nondepressive,0
gstr,nondepressive,0
pain,nondepressive,0
understand,nondepressive,0
fuck,nondepressive,0
ppl,nondepressive,0
die,nondepressive,0
past,nondepressive,0
justiceformanishavalmiki,nondepressive,0
paid,nondepressive,0
mad,nondepressive,0
disaster,nondepressive,0
focused,nondepressive,0
cheat,nondepressive,0
mean,nondepressive,0
suicide,nondepressive,0
watching,nondepressive,0
due,nondepressive,0
saying,nondepressive,0
black,nondepressive,0
instead,nondepressive,0
case,nondepressive,0
horrible,nondepressive,0
children,nondepressive,0
china,nondepressive,0
worst,nondepressive,0
wrong,nondepressive,0
game,nondepressive,0
police,nondepressive,0
maybe,nondepressive,0
sometimes,nondepressive,0
thinking,nondepressive,0
rape,nondepressive,0
reason,nondepressive,0
depressed,nondepressive,0
literally,nondepressive,0
bad,nondepressive,0
hate,nondepressive,0
pandemic,nondepressive,0
scary,nondepressive,0
sorry,nondepressive,0
issues,nondepressive,0
lost,nondepressive,0
dislike,nondepressive,0
used,nondepressive,0
tired,nondepressive,0
point,nondepressive,0
justice,nondepressive,0
sick,nondepressive,0
fucking,nondepressive,0
watch,nondepressive,0
deadly,nondepressive,0
pakistan,nondepressive,0
hurt,nondepressive,0
call,nondepressive,0
pay,nondepressive,0
school,nondepressive,0
taking,nondepressive,0
went,nondepressive,0
